Row Key	Parent Key	Catalog Key	Record Type	Flow Scope	VGM	Delivery Instruction	Delivery Rule	Fallback Order	Status	Date	Title	Description	Lyrics	Media	Media Type	Notes	WP Post ID	WP Slug	Related Posts	Related Content Keys	Content Category	Content Subcategory
1		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-10d	Catalog Item 1 - Welcome Audio	Generic welcome audio asset for onboarding demos.		https://example.com/audio/catalog-item-1.mp3	audio	Starter sample asset.		catalog-item-1			onboarding	audio
2		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-11d	Catalog Item 2 - Quick PDF Guide	Short setup PDF used for test delivery rules.		https://example.com/docs/catalog-item-2.pdf	pdf	Sample PDF deliverable.		catalog-item-2			docs	pdf
3		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-12d	Catalog Item 3 - Tip Video	Generic short-form video link for media tests.		https://www.tiktok.com/@example/video/1000000000000000003	video	Sample short video link.		catalog-item-3			media	video
4		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-13d	Catalog Item 4 - Practice Loop	Practice loop for repeat-listen behavior checks.		https://example.com/audio/catalog-item-4-loop.mp3	audio	Used in playback QA.		catalog-item-4			practice	audio
5		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-14d	Catalog Item 5 - Worksheet PDF	Printable worksheet template for checklist flows.		https://example.com/docs/catalog-item-5-worksheet.pdf	pdf	Worksheet sample.		catalog-item-5			docs	worksheet
6		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-15d	Catalog Item 6 - Demo Track	Demonstration track used in companion tests.		https://example.com/audio/catalog-item-6-demo.mp3	audio	Demo audio sample.		catalog-item-6			music	demo
7		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-16d	Catalog Item 7 - Resource Bundle	Bundle landing page for grouped content references.		https://example.com/resources/catalog-item-7	link	Collection link.		catalog-item-7			resources	bundle
8		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-17d	Catalog Item 8 - FAQ Sheet	FAQ PDF used for support deflection tests.		https://example.com/docs/catalog-item-8-faq.pdf	pdf	FAQ sample file.		catalog-item-8			support	faq
9		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-18d	Catalog Item 9 - Prompt Library	Prompt examples for AI conversation rehearsal.		https://example.com/docs/catalog-item-9-prompts.pdf	pdf	Prompt library sample.		catalog-item-9			ai	prompts
10		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-19d	Catalog Item 10 - Shorts Playlist	Playlist link for short test assets.		https://www.tiktok.com/@example/playlist/7000000000000000010	video	Short-form playlist sample.		catalog-item-10			media	playlist
11		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-20d	Catalog Item 11 - Reflection Audio	Reflection-style audio used for emotional pacing demos.		https://example.com/audio/catalog-item-11-reflection.mp3	audio	Reflection sample.		catalog-item-11			wellness	audio
12		default	work	all	Visitor Guest Member	intent match	preference	chatplayer > media-link > text	active	2026-01m-21d	Catalog Item 12 - Completion Certificate	Generic certificate PDF for completion flow simulation.		https://example.com/docs/catalog-item-12-certificate.pdf	pdf	Completion sample.		catalog-item-12			completion	certificate
