Row Key	Parent Key	Catalog Key	Item Type	Flow Scope	VGM	Delivery Instruction	Delivery Rule	Fallback Order	Status	Title	Description	Difficulty	Duration
1		ordinary-manuals	instruction manual	all	Freeline	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Opening a Jar That Has Decided Otherwise	The jar is not stuck. The jar has taken a position. This manual covers negotiation, leverage, and the warm-water concession.	Beginner	4 min
2		ordinary-manuals	instruction manual	all	Guest	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Emergency Procedures for a Jammed Zipper	Covers the graphite pencil method, the soap method, and the moment you accept the coat is now a pullover.	Beginner	3 min
3		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Locating the End of the Sticky Tape	A systematic search protocol. Includes the fingernail sweep and the light-angle technique.	Beginner	2 min
4		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Folding a Fitted Sheet	The only honest manual on this subject. Step four is simply 'roll it into a ball and close the cupboard'.	Intermediate	7 min
5		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Removing a Price Sticker Without Residue	Heat, oil, and patience, in that order. Do not use your thumbnail. You will use your thumbnail.	Beginner	5 min
6		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Assembling Furniture With One Screw Left Over	Diagnostic flowchart for determining whether the extra screw was structural.	Intermediate	12 min
7		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Untangling Headphone Cables	Includes the loop-and-pull method and a section on why they do this in your pocket.	Beginner	6 min
8		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting a Fitted Bin Bag Into a Bin	Covers the air-pocket problem and the corner-tuck sequence.	Beginner	3 min
9		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Reaching the Last Olive in the Jar	Fork techniques, tilt angles, and the brine-drain method of last resort.	Beginner	4 min
10		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Opening a Vacuum-Sealed Package Without Scissors	Teeth are a last resort. This manual explains the five options that come first.	Beginner	4 min
11		ordinary-manuals	instruction manual	all	Freeline	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Silencing a Smoke Alarm at 3 AM	Battery location, the chirp-interval diagnostic, and why it only happens at night.	Intermediate	8 min
12		ordinary-manuals	instruction manual	all	Guest	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Parallel Parking Without an Audience	Reference-point method. Includes the mirror sequence and when to abandon the space.	Intermediate	10 min
13		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Refolding a Road Map	Original crease identification. Accepts that you will not succeed.	Advanced	15 min
14		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Making a Fitted Sheet Stay on the Mattress	Corner tension, strap options, and the physics of why it migrates.	Intermediate	9 min
15		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Removing a Splinter You Cannot See	Lighting, magnification, and the tape method for the truly invisible.	Intermediate	7 min
16		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting the Last of the Toothpaste Out	Rolling, scissors, and the warm-water rinse for the final application.	Beginner	3 min
17		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Identifying Which Key Opens Which Lock	Labelling systems, tactile marking, and the process-of-elimination protocol.	Beginner	5 min
18		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Carrying All the Shopping in One Trip	Load distribution, handle stacking, and the forearm hook. Injury risk: moderate.	Intermediate	6 min
19		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Opening a Bag of Crisps Quietly	Slow-tension method for cinemas and libraries. Success rate is honestly reported.	Intermediate	4 min
20		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Retrieving a Sock From Behind the Washing Machine	Reach assessment, tool improvisation, and when to simply buy new socks.	Intermediate	11 min
21		ordinary-manuals	instruction manual	all	Freeline	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Explaining a Board Game Rule You Half Remember	Confidence maintenance while consulting the rulebook covertly.	Advanced	8 min
22		ordinary-manuals	instruction manual	all	Guest	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting Cling Film to Cling	Static generation, bowl-rim technique, and the roll-cutter alignment problem.	Intermediate	5 min
23		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Turning a Duvet Cover the Right Way Out	The Australian roll method, explained in full, with diagrams described in text.	Intermediate	9 min
24		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Waking Up Before the Alarm and Deciding What to Do	Decision matrix for the seven-minutes-remaining scenario.	Beginner	4 min
25		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Removing a Stripped Screw	Rubber-band method, extractor bits, and the point at which you drill.	Advanced	14 min
