Row Key	Parent Key	Catalog Key	Record Type	Flow Scope	VGM	Delivery Instruction	Delivery Rule	Fallback Order	Status	Date	Title	Description	Subject	Lyrics	Media	Media Type	Notes	WP Post ID	WP Slug	Related Posts	Related Content Keys	Content Category	Content Subcategory
1		vegan_latvian_kitchen	recipe	all	visitor	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Pelēkie zirņi ar “speķi”	Latvia’s national dish — veganized. Smoky “speķis” from mushrooms and smoked tofu.	Grey peas; National dish; Legumes; Smoked tofu			text	Visitor freeline 1 of 2.		pelekie-zirni-ar-speki		recipe_1	vegan_latvian_recipes	visitor
2		vegan_latvian_kitchen	recipe	all	visitor	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Kartupeļu pankūkas	Crispy grated potato pancakes — everyday comfort.	Potato pancakes; Potatoes; Fried; Comfort food			text	Visitor freeline 2 of 2.		kartupelu-pankukas		recipe_2	vegan_latvian_recipes	visitor
3		vegan_latvian_kitchen	recipe	all	guest	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Ķimeņu siers (Jāņu siers)	Jāņi on a plate — caraway “cheese” without dairy.	Caraway cheese; Midsummer cheese; Jani; Dairy-free cheese			text	Guest freeline 1 of 2.		kimenu-siers-janu-siers		recipe_3	vegan_latvian_recipes	guest
4		vegan_latvian_kitchen	recipe	all	guest	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Aukstā zupa	Pink summer classic — plant kefir, beets, cucumber, dill.	Cold beet soup; Summer soup; Beets; Kefir			text	Guest freeline 2 of 2.		auksta-zupa		recipe_4	vegan_latvian_recipes	guest
5		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Rasols	Latvian potato salad, fully plant-based.	Potato salad; Latvian salad; Picnic			text	Member recipe.		rasols		recipe_5	vegan_latvian_recipes	member
6		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Vegānie pīrāgi	Soft yeast dough, smoky mushroom–tofu filling.	Savoury buns; Bacon buns; Yeast dough; Pastries			text	Member recipe.		vegan-piragi		recipe_6	vegan_latvian_recipes	member
7		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Sklandrausis	Rye shells with carrot–potato filling.	Rye tart; Carrot tart; Traditional pastry			text	Member recipe.		sklandrausis		recipe_7	vegan_latvian_recipes	member
8		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Rupjmaizes kārtojums	Layered dark rye dessert.	Rye bread dessert; Layered dessert; Cream			text	Member recipe.		rupjmaizes-kartojums		recipe_8	vegan_latvian_recipes	member
9		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Skābeņu zupa	Sorrel soup, plant broth.	Sorrel soup; Green soup; Spring soup			text	Member recipe.		skabenu-zupa		recipe_9	vegan_latvian_recipes	member
10		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Debesmanna	Airy berry dessert.	Berry dessert; Semolina mousse; Cranberry; Whipped			text	Member recipe.		debesmanna		recipe_10	vegan_latvian_recipes	member
11		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Kotletes	Plant cutlets.	Cutlets; Patties; Plant burgers			text	Member recipe.		vegan-kotletes		recipe_11	vegan_latvian_recipes	member
12		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Bukstiņbiezputra	Barley porridge comfort bowl.	Barley porridge; Grain porridge; Comfort food			text	Member recipe.		bukstinbiezputra		recipe_12	vegan_latvian_recipes	member
13		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Burkānlaša smalkmaizītes ar paštaisītu burkānlasi	Carrot “lox” canapés.	Carrot lox; Canapes; Open sandwiches; Party food			text	Member recipe.		burkanlasa-smalkmaizites		recipe_13	vegan_latvian_recipes	member
14		vegan_latvian_kitchen	recipe	all	member	intent match	preference	media-link > text > chatplayer	active	2026-08m-10d	Tofu–mushroom “roast beef”	Showpiece seared roast.	Roast; Tofu roast; Mushroom roast; Centrepiece			text	Member recipe.		tofu-mushroom-roast-beef		recipe_14	vegan_latvian_recipes	member
15		vegan_latvian_kitchen	pack	all	member	post-purchase	preference	media-link > text	active	2026-08m-10d	Cookbook PDF — full pack	Member PDF: full bilingual cookbook. $10 one-time or access code garšīgs.	Cookbook; PDF; Full pack; Download			pdf	Member PDF pack.		vegan-latvian-kitchen-pdf		pack_pdf	vegan_latvian_recipes	pdf
