Row Key	Parent Key	Catalog Key	Item Type	Flow Scope	VGM	Delivery Instruction	Delivery Rule	Fallback Order	Status	Title	Description	Subject	Identifier	Type	Relation
1		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Visitor Guest Member	match by title, subject, description, or user intent	preference	text	active	Household Three-Hole Punch User Manual for Beginners	Basic setup, paper alignment, punching, emptying, and storage procedures for a household three-hole punch.	Office Tools; Paper Handling	DCSJ-001	Instruction Manual	UberManual.pdf
2		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Guest Member	match by title, subject, description, or user intent	preference	text	active	Advanced Techniques for Folding Fitted Sheets	Methods for folding fitted sheets with attention to corners, elastic edges, stacking, and linen-closet storage.	Household Skills; Laundry	DCSJ-002	Instruction Manual	UberManual.pdf
3		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Safe Operation of a Step Stool	Routine guidance for opening, positioning, climbing, descending, folding, and storing a household step stool.	Household Safety; Step Stools	DCSJ-003	Instruction Manual	UberManual.pdf
4		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Introduction to Liner Drawer Use	An introductory reference for selecting, positioning, smoothing, cleaning, and replacing liners used inside drawers.	Storage; Drawers	DCSJ-004	Instruction Manual	UberManual.pdf
5		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Practical Guidelines for Refilling a Soap Dispenser	Procedures for opening, refilling, closing, wiping, and returning a household soap dispenser to normal use.	Household Fixtures; Soap Dispensers	DCSJ-005	Instruction Manual	UberManual.pdf
6		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Proper Use and Storage of a Metal Dustpan	Guidance for ordinary sweeping tasks, debris collection, cleaning, drying, and storage of a metal dustpan.	Cleaning Tools; Dustpans	DCSJ-006	Instruction Manual	UberManual.pdf
7		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Operating a Manual Can Opener Safely	Basic instructions for positioning, turning, releasing, cleaning, and safely storing a manual can opener.	Kitchen Tools; Can Openers	DCSJ-007	Instruction Manual	UberManual.pdf
8		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Basic Care of a Plastic Laundry Basket	Care recommendations for carrying, loading, cleaning, stacking, and storing a plastic laundry basket.	Laundry; Baskets	DCSJ-008	Instruction Manual	UberManual.pdf
9		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Instructions for Changing a Vacuum Cleaner Bag	A routine procedure for identifying a full vacuum bag, removing it, installing a replacement, and checking closure.	Floor Care; Vacuum Cleaners	DCSJ-009	Instruction Manual	UberManual.pdf
10		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Principles of Umbrella Storage	Practical considerations for drying, closing, positioning, and storing umbrellas between periods of use.	Personal Accessories; Umbrellas	DCSJ-010	Instruction Manual	UberManual.pdf
11		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Visitor Guest Member	match by title, subject, description, or user intent	preference	text	active	Beginner's Guide to Refrigerator Shelf Adjustment	Instructions for removing, repositioning, leveling, and reinstalling adjustable refrigerator shelves.	Kitchen Appliances; Refrigerators	DCSJ-011	Instruction Manual	UberManual.pdf
12		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Guest Member	match by title, subject, description, or user intent	preference	text	active	Effortless Mini-Wastebasket Maintenance and Repair	Simple maintenance and minor repair procedures for a small household wastebasket, including cleaning and rim inspection.	Waste Management; Wastebaskets	DCSJ-012	Instruction Manual	UberManual.pdf
13		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Shower Curtain Longevity Secrets (What the Bathroom Industry Doesn't Want You To Know)	Methods for extending shower-curtain service life through drying, cleaning, ring inspection, and sensible replacement intervals.	Bathroom; Shower Curtains	DCSJ-013	Instruction Manual	UberManual.pdf
14		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Intermediate Ice Cube Tray Filling and Chilling Procedures	A moderately detailed procedure for filling, carrying, positioning, freezing, releasing, and refilling an ice cube tray.	Kitchen; Ice Trays	DCSJ-014	Instruction Manual	UberManual.pdf
15		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Care and Handling of Collapsible Beds	Guidance for opening, positioning, folding, transporting, and storing collapsible beds without unnecessary difficulty.	Furniture; Collapsible Beds	DCSJ-015	Instruction Manual	UberManual.pdf
16		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Creative Doormat Solutions for City Dwellers	Space-conscious approaches to selecting, positioning, cleaning, rotating, and replacing doormats in city residences.	Entryways; Doormats	DCSJ-016	Instruction Manual	UberManual.pdf
17		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Expert Window Squeegee Tips and Techniques	Techniques for preparing, using, wiping, inspecting, and storing a handheld window squeegee.	Cleaning; Windows	DCSJ-017	Instruction Manual	UberManual.pdf
18		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	An Introduction to Under-Sink Cabinet Organization	A basic system for grouping, positioning, containing, and periodically reviewing items stored beneath a sink.	Storage; Cabinets	DCSJ-018	Instruction Manual	UberManual.pdf
19		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Top 10 Manual Bottle Opener Usage Mistakes and How to Avoid Them	Ten common errors involving grip, leverage, cap position, opener placement, and post-opening storage.	Kitchen Tools; Bottle Openers	DCSJ-019	Instruction Manual	UberManual.pdf
20		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	What to Do When the Battery Runs Out	A practical sequence for identifying a depleted household battery, selecting a replacement, and restoring normal operation.	Household Maintenance; Batteries	DCSJ-020	Instruction Manual	UberManual.pdf
21		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Visitor Guest Member	match by title, subject, description, or user intent	preference	text	active	Practical Strategies for Repositioning a Floor Lamp	Recommendations for lifting, shifting, leveling, and reconnecting a freestanding floor lamp after repositioning.	Lighting; Floor Lamps	DCSJ-021	Instruction Manual	UberManual.pdf
22		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Guest Member	match by title, subject, description, or user intent	preference	text	active	The Complete Beginner's Guide to Replacing a Toilet Paper Roll	A step-by-step introduction to removing an empty roll, installing a new roll, and confirming free paper movement.	Bathroom; Toilet Paper	DCSJ-022	Instruction Manual	UberManual.pdf
23		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Seven Common Mistakes in Clothes Hanger Selection	A review of size, shape, material, shoulder support, spacing, and storage considerations when selecting clothes hangers.	Clothing; Hangers	DCSJ-023	Instruction Manual	UberManual.pdf
